window_start_utc,window_end_utc,device,packet_count,packet_rate,mean_inter_arrival_ms,std_inter_arrival_ms,min_inter_arrival_ms,max_inter_arrival_ms,duplicate_ratio,seq_increment_mean,seq_increment_std,unique_modes,dominant_mode,label
2026-05-15T14:25:55.208Z,2026-05-15T14:26:55.208Z,esp32_1,5,0.0833,11371.25,6672.33,6767.0,22886.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:26:02.535Z,2026-05-15T14:27:02.535Z,esp32_2,6,0.1,10227.4,1761.0,6776.0,11577.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:26:04.603Z,2026-05-15T14:27:04.603Z,esp32_3,72,1.2,776.97,1503.24,2.0,5812.0,0.0,1.0141,0.1178,2,DOS_FLOOD,DOS_FLOOD
2026-05-15T14:26:05.208Z,2026-05-15T14:27:05.208Z,esp32_1,5,0.0833,8205.75,1296.66,6767.0,10224.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:26:12.535Z,2026-05-15T14:27:12.535Z,esp32_2,6,0.1,9520.4,2175.97,6776.0,11577.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:26:14.603Z,2026-05-15T14:27:14.603Z,esp32_3,36,0.6,1590.03,2178.72,2.0,5812.0,0.0,1.0,0.0,2,DOS_FLOOD,DOS_FLOOD
2026-05-15T14:26:15.208Z,2026-05-15T14:27:15.208Z,esp32_1,6,0.1,9355.8,2575.95,6767.0,13956.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:26:22.535Z,2026-05-15T14:27:22.535Z,esp32_2,6,0.1,9778.0,2422.54,6776.0,12494.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:26:24.603Z,2026-05-15T14:27:24.603Z,esp32_3,12,0.2,5024.55,535.56,4141.0,5812.0,0.0,1.0,0.0,1,NORMAL,NORMAL
2026-05-15T14:26:25.208Z,2026-05-15T14:27:25.208Z,esp32_1,8,0.1333,8482.29,2586.32,5916.0,13956.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
