timestamp_utc,topic,device,mode,seq,temp,humidity,light,inter_arrival_ms,label
2026-06-08T17:31:14.882Z,netguard/attacker,esp32_3,NORMAL,420,-1,-1,-1,-1,NORMAL
2026-06-08T17:31:16.358Z,netguard/device1,esp32_1,NORMAL,352,28.6,63.0,-1,-1,NORMAL
2026-06-08T17:31:17.344Z,netguard/attacker,esp32_3,NORMAL,421,-1,-1,-1,2461,NORMAL
2026-06-08T17:31:17.346Z,netguard/device2,esp32_2,NORMAL,230,-1,-1,0,-1,NORMAL
2026-06-08T17:31:19.802Z,netguard/device1,esp32_1,NORMAL,353,28.6,63.0,-1,3443,NORMAL
2026-06-08T17:31:21.773Z,netguard/attacker,esp32_3,NORMAL,422,-1,-1,-1,4428,NORMAL
2026-06-08T17:31:22.263Z,netguard/device2,esp32_2,NORMAL,231,-1,-1,0,4916,NORMAL
2026-06-08T17:31:23.491Z,netguard/device1,esp32_1,NORMAL,354,28.6,63.0,-1,3689,NORMAL
2026-06-08T17:31:24.721Z,netguard/cmd,cmd,NORMAL,-1,-1,-1,-1,-1,NORMAL
2026-06-08T17:31:25.705Z,netguard/device2,esp32_2,NORMAL,232,-1,-1,0,3442,NORMAL
2026-06-08T17:31:26.444Z,netguard/attacker,esp32_3,NORMAL,423,-1,-1,-1,4671,NORMAL
2026-06-08T17:31:27.182Z,netguard/device1,esp32_1,NORMAL,355,28.7,63.0,-1,3691,NORMAL
2026-06-08T17:31:28.411Z,netguard/device2,esp32_2,NORMAL,233,-1,-1,0,2706,NORMAL
2026-06-08T17:31:30.632Z,netguard/device2,esp32_2,NORMAL,234,-1,-1,0,2220,NORMAL
2026-06-08T17:31:30.871Z,netguard/device1,esp32_1,NORMAL,356,28.7,63.0,-1,3688,NORMAL
2026-06-08T17:31:30.872Z,netguard/attacker,esp32_3,NORMAL,424,-1,-1,-1,4428,NORMAL
2026-06-08T17:31:33.086Z,netguard/device2,esp32_2,NORMAL,235,-1,-1,0,2454,NORMAL
2026-06-08T17:31:35.053Z,netguard/attacker,esp32_3,NORMAL,425,-1,-1,-1,4180,NORMAL
2026-06-08T17:31:35.791Z,netguard/device1,esp32_1,NORMAL,357,28.7,63.0,-1,4919,NORMAL
2026-06-08T17:31:36.283Z,netguard/device2,esp32_2,NORMAL,236,-1,-1,0,3197,NORMAL
2026-06-08T17:31:38.005Z,netguard/device1,esp32_1,NORMAL,358,28.7,63.0,-1,2214,NORMAL
2026-06-08T17:31:38.989Z,netguard/device2,esp32_2,NORMAL,237,-1,-1,0,2705,NORMAL
2026-06-08T17:31:39.482Z,netguard/attacker,esp32_3,NORMAL,426,-1,-1,-1,4429,NORMAL
2026-06-08T17:31:41.452Z,netguard/device2,esp32_2,NORMAL,238,-1,-1,0,2463,NORMAL
2026-06-08T17:31:42.678Z,netguard/device1,esp32_1,NORMAL,359,28.7,63.0,-1,4673,NORMAL
2026-06-08T17:31:43.908Z,netguard/device2,esp32_2,NORMAL,239,-1,-1,0,2456,NORMAL
2026-06-08T17:31:44.410Z,netguard/attacker,esp32_3,NORMAL,427,-1,-1,-1,4927,NORMAL
2026-06-08T17:31:45.632Z,netguard/device1,esp32_1,NORMAL,360,28.7,63.0,-1,2953,NORMAL
2026-06-08T17:31:47.844Z,netguard/attacker,esp32_3,NORMAL,428,-1,-1,-1,3434,NORMAL
2026-06-08T17:31:47.846Z,netguard/device2,esp32_2,NORMAL,240,-1,-1,0,3937,NORMAL
2026-06-08T17:31:51.782Z,netguard/device2,esp32_2,NORMAL,241,-1,-1,0,3935,NORMAL
2026-06-08T17:31:52.026Z,netguard/attacker,esp32_3,NORMAL,429,-1,-1,-1,4182,NORMAL
2026-06-08T17:31:53.257Z,netguard/device2,esp32_2,NORMAL,242,-1,-1,0,1474,NORMAL
2026-06-08T17:31:55.716Z,netguard/device2,esp32_2,NORMAL,243,-1,-1,0,2459,NORMAL
2026-06-08T17:31:55.962Z,netguard/device1,esp32_1,NORMAL,361,28.7,63.0,-1,10330,NORMAL
2026-06-08T17:31:56.702Z,netguard/device1,esp32_1,NORMAL,362,28.7,63.0,-1,739,NORMAL
2026-06-08T17:31:56.704Z,netguard/attacker,esp32_3,NORMAL,430,-1,-1,-1,4677,NORMAL
2026-06-08T17:31:59.406Z,netguard/device2,esp32_2,NORMAL,244,-1,-1,0,3689,NORMAL
2026-06-08T17:32:00.883Z,netguard/attacker,esp32_3,NORMAL,431,-1,-1,-1,4179,NORMAL
2026-06-08T17:32:01.377Z,netguard/device1,esp32_1,NORMAL,363,28.7,63.0,-1,4674,NORMAL
2026-06-08T17:32:01.866Z,netguard/device2,esp32_2,NORMAL,245,-1,-1,0,2460,NORMAL
2026-06-08T17:32:04.328Z,netguard/device2,esp32_2,NORMAL,246,-1,-1,0,2462,NORMAL
2026-06-08T17:32:04.331Z,netguard/attacker,esp32_3,NORMAL,432,-1,-1,-1,3448,NORMAL
2026-06-08T17:32:06.048Z,netguard/device1,esp32_1,NORMAL,364,28.7,63.0,-1,4670,NORMAL
2026-06-08T17:32:06.539Z,netguard/attacker,esp32_3,NORMAL,433,-1,-1,-1,2208,NORMAL
2026-06-08T17:32:08.263Z,netguard/device1,esp32_1,NORMAL,365,28.7,63.0,-1,2215,NORMAL
2026-06-08T17:32:08.754Z,netguard/device2,esp32_2,NORMAL,247,-1,-1,0,4425,NORMAL
2026-06-08T17:32:09.984Z,netguard/attacker,esp32_3,NORMAL,434,-1,-1,-1,3445,NORMAL
2026-06-08T17:32:12.199Z,netguard/device2,esp32_2,NORMAL,248,-1,-1,0,3444,NORMAL
2026-06-08T17:32:12.446Z,netguard/device1,esp32_1,NORMAL,366,28.7,63.0,-1,4182,NORMAL
2026-06-08T17:32:12.936Z,netguard/attacker,esp32_3,NORMAL,435,-1,-1,-1,2951,NORMAL
2026-06-08T17:32:15.396Z,netguard/attacker,esp32_3,NORMAL,436,-1,-1,-1,2459,NORMAL
2026-06-08T17:32:15.888Z,netguard/device2,esp32_2,NORMAL,249,-1,-1,0,3689,NORMAL
2026-06-08T17:32:16.135Z,netguard/device1,esp32_1,NORMAL,367,28.7,64.0,-1,3688,NORMAL
2026-06-08T17:32:17.610Z,netguard/attacker,esp32_3,NORMAL,437,-1,-1,-1,2214,NORMAL
2026-06-08T17:32:19.086Z,netguard/device2,esp32_2,NORMAL,250,-1,-1,0,3198,NORMAL
2026-06-08T17:32:19.825Z,netguard/device1,esp32_1,NORMAL,368,28.7,64.0,-1,3689,NORMAL
2026-06-08T17:32:21.649Z,netguard/attacker,esp32_3,NORMAL,438,-1,-1,-1,4038,NORMAL
2026-06-08T17:32:22.041Z,netguard/device2,esp32_2,NORMAL,251,-1,-1,0,2955,NORMAL
2026-06-08T17:32:22.776Z,netguard/device1,esp32_1,NORMAL,369,28.8,65.0,-1,2951,NORMAL
2026-06-08T17:32:24.989Z,netguard/attacker,esp32_3,NORMAL,439,-1,-1,-1,3340,NORMAL
2026-06-08T17:32:24.991Z,netguard/device2,esp32_2,NORMAL,252,-1,-1,0,2949,NORMAL
2026-06-08T17:32:26.466Z,netguard/device1,esp32_1,NORMAL,370,29.0,67.0,-1,3689,NORMAL
2026-06-08T17:32:28.188Z,netguard/device2,esp32_2,NORMAL,253,-1,-1,0,3196,NORMAL
2026-06-08T17:32:28.926Z,netguard/device1,esp32_1,NORMAL,371,29.0,67.0,-1,2460,NORMAL
2026-06-08T17:32:29.175Z,netguard/attacker,esp32_3,NORMAL,440,-1,-1,-1,4185,NORMAL
2026-06-08T17:32:34.094Z,netguard/device2,esp32_2,NORMAL,254,-1,-1,0,5906,NORMAL
2026-06-08T17:32:34.096Z,netguard/device1,esp32_1,NORMAL,372,29.3,68.0,-1,5169,NORMAL
2026-06-08T17:32:34.097Z,netguard/attacker,esp32_3,NORMAL,441,-1,-1,-1,4922,NORMAL
2026-06-08T17:32:35.813Z,netguard/attacker,esp32_3,NORMAL,442,-1,-1,-1,1716,NORMAL
2026-06-08T17:32:35.815Z,netguard/device2,esp32_2,NORMAL,255,-1,-1,0,1721,NORMAL
2026-06-08T17:32:36.551Z,netguard/device1,esp32_1,NORMAL,373,29.5,67.0,-1,2454,NORMAL
2026-06-08T17:32:38.032Z,netguard/attacker,esp32_3,NORMAL,443,-1,-1,-1,2218,NORMAL
2026-06-08T17:32:40.246Z,netguard/device1,esp32_1,NORMAL,374,29.6,65.0,-1,3694,NORMAL
2026-06-08T17:32:40.488Z,netguard/device2,esp32_2,NORMAL,256,-1,-1,0,4673,NORMAL
2026-06-08T17:32:41.226Z,netguard/attacker,esp32_3,NORMAL,444,-1,-1,-1,3194,NORMAL
2026-06-08T17:32:42.491Z,netguard/device2,esp32_2,NORMAL,257,-1,-1,0,2002,NORMAL
2026-06-08T17:32:42.493Z,netguard/cmd,cmd,EVASION_ATTACK,-1,-1,-1,-1,77771,EVASION_ATTACK
2026-06-08T17:32:43.204Z,netguard/attacker,esp32_3,EVASION_ATTACK,445,-1,-1,-1,1977,EVASION_ATTACK
2026-06-08T17:32:43.685Z,netguard/attacker,esp32_3,EVASION_ATTACK,446,-1,-1,-1,481,EVASION_ATTACK
2026-06-08T17:32:43.687Z,netguard/attacker,esp32_3,EVASION_ATTACK,447,-1,-1,-1,2,EVASION_ATTACK
2026-06-08T17:32:43.688Z,netguard/attacker,esp32_3,EVASION_ATTACK,448,-1,-1,-1,0,EVASION_ATTACK
2026-06-08T17:32:43.931Z,netguard/device1,esp32_1,NORMAL,375,29.7,63.0,-1,3684,EVASION_ATTACK
2026-06-08T17:32:44.178Z,netguard/attacker,esp32_3,EVASION_ATTACK,449,-1,-1,-1,489,EVASION_ATTACK
2026-06-08T17:32:46.884Z,netguard/attacker,esp32_3,EVASION_ATTACK,450,-1,-1,-1,2705,EVASION_ATTACK
2026-06-08T17:32:46.886Z,netguard/device2,esp32_2,NORMAL,258,-1,-1,0,4394,EVASION_ATTACK
2026-06-08T17:32:47.452Z,netguard/attacker,esp32_3,EVASION_ATTACK,451,-1,-1,-1,567,EVASION_ATTACK
2026-06-08T17:32:47.454Z,netguard/attacker,esp32_3,EVASION_ATTACK,452,-1,-1,-1,2,EVASION_ATTACK
2026-06-08T17:32:47.455Z,netguard/attacker,esp32_3,EVASION_ATTACK,453,-1,-1,-1,0,EVASION_ATTACK
2026-06-08T17:32:47.867Z,netguard/attacker,esp32_3,EVASION_ATTACK,454,-1,-1,-1,412,EVASION_ATTACK
2026-06-08T17:32:49.345Z,netguard/device2,esp32_2,NORMAL,259,-1,-1,0,2459,EVASION_ATTACK
2026-06-08T17:32:50.820Z,netguard/attacker,esp32_3,EVASION_ATTACK,455,-1,-1,-1,2953,EVASION_ATTACK
2026-06-08T17:32:51.312Z,netguard/attacker,esp32_3,EVASION_ATTACK,456,-1,-1,-1,491,EVASION_ATTACK
2026-06-08T17:32:51.314Z,netguard/attacker,esp32_3,EVASION_ATTACK,457,-1,-1,-1,2,EVASION_ATTACK
2026-06-08T17:32:51.808Z,netguard/attacker,esp32_3,EVASION_ATTACK,458,-1,-1,-1,494,EVASION_ATTACK
2026-06-08T17:32:51.810Z,netguard/attacker,esp32_3,EVASION_ATTACK,459,-1,-1,-1,2,EVASION_ATTACK
2026-06-08T17:32:51.811Z,netguard/device2,esp32_2,NORMAL,260,-1,-1,0,2465,EVASION_ATTACK
2026-06-08T17:32:54.756Z,netguard/attacker,esp32_3,EVASION_ATTACK,460,-1,-1,-1,2945,EVASION_ATTACK
2026-06-08T17:32:55.247Z,netguard/attacker,esp32_3,EVASION_ATTACK,461,-1,-1,-1,490,EVASION_ATTACK
2026-06-08T17:32:55.249Z,netguard/attacker,esp32_3,EVASION_ATTACK,462,-1,-1,-1,2,EVASION_ATTACK
2026-06-08T17:32:55.496Z,netguard/device2,esp32_2,NORMAL,261,-1,-1,0,3684,EVASION_ATTACK
2026-06-08T17:32:55.739Z,netguard/attacker,esp32_3,EVASION_ATTACK,463,-1,-1,-1,489,EVASION_ATTACK
2026-06-08T17:32:55.741Z,netguard/attacker,esp32_3,EVASION_ATTACK,464,-1,-1,-1,2,EVASION_ATTACK
2026-06-08T17:32:58.691Z,netguard/attacker,esp32_3,EVASION_ATTACK,465,-1,-1,-1,2950,EVASION_ATTACK
2026-06-08T17:32:59.185Z,netguard/attacker,esp32_3,EVASION_ATTACK,466,-1,-1,-1,493,EVASION_ATTACK
2026-06-08T17:32:59.187Z,netguard/attacker,esp32_3,EVASION_ATTACK,467,-1,-1,-1,2,EVASION_ATTACK
2026-06-08T17:32:59.188Z,netguard/attacker,esp32_3,EVASION_ATTACK,468,-1,-1,-1,1,EVASION_ATTACK
2026-06-08T17:32:59.680Z,netguard/attacker,esp32_3,EVASION_ATTACK,469,-1,-1,-1,491,EVASION_ATTACK
2026-06-08T17:33:00.167Z,netguard/device2,esp32_2,NORMAL,262,-1,-1,0,4670,EVASION_ATTACK
2026-06-08T17:33:01.890Z,netguard/device1,esp32_1,NORMAL,376,29.8,62.0,-1,17959,EVASION_ATTACK
2026-06-08T17:33:02.381Z,netguard/device1,esp32_1,NORMAL,377,29.8,61.0,-1,491,EVASION_ATTACK
2026-06-08T17:33:02.383Z,netguard/device1,esp32_1,NORMAL,378,29.8,60.0,-1,2,EVASION_ATTACK
2026-06-08T17:33:02.384Z,netguard/device1,esp32_1,NORMAL,379,29.8,60.0,-1,1,EVASION_ATTACK
2026-06-08T17:33:02.392Z,netguard/device1,esp32_1,NORMAL,380,29.8,59.0,-1,8,EVASION_ATTACK
2026-06-08T17:33:02.875Z,netguard/attacker,esp32_3,EVASION_ATTACK,470,-1,-1,-1,3195,EVASION_ATTACK
2026-06-08T17:33:03.366Z,netguard/attacker,esp32_3,EVASION_ATTACK,471,-1,-1,-1,490,EVASION_ATTACK
2026-06-08T17:33:03.368Z,netguard/attacker,esp32_3,EVASION_ATTACK,472,-1,-1,-1,2,EVASION_ATTACK
2026-06-08T17:33:03.369Z,netguard/attacker,esp32_3,EVASION_ATTACK,473,-1,-1,-1,0,EVASION_ATTACK
2026-06-08T17:33:03.370Z,netguard/attacker,esp32_3,EVASION_ATTACK,474,-1,-1,-1,0,EVASION_ATTACK
2026-06-08T17:33:05.086Z,netguard/device2,esp32_2,NORMAL,263,-1,-1,0,4919,EVASION_ATTACK
2026-06-08T17:33:06.070Z,netguard/device1,esp32_1,NORMAL,381,29.7,59.0,-1,3678,EVASION_ATTACK
2026-06-08T17:33:06.809Z,netguard/attacker,esp32_3,EVASION_ATTACK,475,-1,-1,-1,3439,EVASION_ATTACK
2026-06-08T17:33:07.301Z,netguard/device2,esp32_2,NORMAL,264,-1,-1,0,2215,EVASION_ATTACK
2026-06-08T17:33:08.039Z,netguard/attacker,esp32_3,EVASION_ATTACK,476,-1,-1,-1,1229,EVASION_ATTACK
2026-06-08T17:33:08.041Z,netguard/attacker,esp32_3,EVASION_ATTACK,477,-1,-1,-1,2,EVASION_ATTACK
2026-06-08T17:33:08.042Z,netguard/attacker,esp32_3,EVASION_ATTACK,478,-1,-1,-1,1,EVASION_ATTACK
2026-06-08T17:33:08.048Z,netguard/attacker,esp32_3,EVASION_ATTACK,479,-1,-1,-1,5,EVASION_ATTACK
2026-06-08T17:33:09.516Z,netguard/device1,esp32_1,NORMAL,382,29.7,59.0,-1,3445,EVASION_ATTACK
2026-06-08T17:33:10.253Z,netguard/device2,esp32_2,NORMAL,265,-1,-1,0,2951,EVASION_ATTACK
2026-06-08T17:33:10.745Z,netguard/attacker,esp32_3,EVASION_ATTACK,480,-1,-1,-1,2697,EVASION_ATTACK
2026-06-08T17:33:11.239Z,netguard/attacker,esp32_3,EVASION_ATTACK,481,-1,-1,-1,493,EVASION_ATTACK
2026-06-08T17:33:11.248Z,netguard/attacker,esp32_3,EVASION_ATTACK,482,-1,-1,-1,8,EVASION_ATTACK
2026-06-08T17:33:11.251Z,netguard/attacker,esp32_3,EVASION_ATTACK,483,-1,-1,-1,3,EVASION_ATTACK
2026-06-08T17:33:13.206Z,netguard/device2,esp32_2,NORMAL,266,-1,-1,0,2953,EVASION_ATTACK
2026-06-08T17:33:13.453Z,netguard/device1,esp32_1,NORMAL,383,29.7,59.0,-1,3937,EVASION_ATTACK
2026-06-08T17:33:13.455Z,netguard/attacker,esp32_3,EVASION_ATTACK,484,-1,-1,-1,2203,EVASION_ATTACK
2026-06-08T17:33:13.456Z,netguard/cmd,cmd,NORMAL,-1,-1,-1,-1,30962,EVASION_ATTACK
